customer_id,signup_date,tier,country,industry
C0088,2024-02-06,Enterprise,United Kingdom,Retail
C0089,2024-03-10,SMB,Australia,Finance
C0090,2023-12-31,Enterprise,Germany,Healthcare
C0091,2023-10-11,Enterprise,Australia,Finance
C0092,2024-02-25,SMB,Australia,Retail
C0093,2022-11-17,Mid-Market,United States,Retail
C0094,2023-01-18,SMB,United States,Healthcare
C0095,2022-10-20,SMB,Germany,Finance
C0096,2023-11-29,SMB,United States,Healthcare
C0097,2023-07-20,Mid-Market,Germany,Healthcare
C0098,2023-09-10,Mid-Market,Canada,Finance
C0099,2023-07-15,Enterprise,Germany,Retail
C0100,2024-05-23,Mid-Market,United Kingdom,Retail
C0101,2022-01-03,SMB,Germany,Technology
C0102,2022-04-01,SMB,Australia,Healthcare
C0103,2022-09-04,Mid-Market,United Kingdom,Retail
C0104,2022-08-14,SMB,United Kingdom,Technology
C0105,2023-05-15,Enterprise,Germany,Finance
C0106,2024-05-02,Enterprise,Canada,Healthcare
C0107,2024-02-05,SMB,Australia,Finance
C0108,2024-01-14,SMB,United States,Technology
C0109,2024-01-28,Mid-Market,United Kingdom,Healthcare
C0110,2022-10-16,SMB,Canada,Retail
C0111,2023-05-23,SMB,United Kingdom,Healthcare
C0112,2023-05-24,SMB,Canada,Healthcare
C0113,2023-05-28,SMB,Canada,Finance
C0114,2022-01-24,Mid-Market,United Kingdom,Finance
C0115,2022-02-23,SMB,United States,Technology
C0116,2024-02-09,Mid-Market,United States,Retail
C0117,2022-10-04,SMB,United Kingdom,Finance
C0118,2022-11-15,SMB,United States,Manufacturing
C0119,2022-10-10,Enterprise,Germany,Retail
C0120,2024-01-14,Enterprise,Germany,Retail
